disbursement_date,recipient_name,recipient_state,committee_id,disbursement_description,disbursement_amount
2020-10-14,"LEGENDARY CAMPAIGNS, LLC",DC,C00580100,ONLINE ADVERTISING,80.85
2020-10-14,STRIPE,CA,C00580100,MERCHANT FEES,0.77
2020-10-14,WINRED TECHNICAL SERVICES LLC,VA,C00580100,MERCHANT FEES,227550.23
2020-10-14,STRIPE,CA,C00580100,MERCHANT FEES,5133.02
2020-10-14,"EVENT RESOURCE GROUP, INC.",FL,C00580100,AUDIO VISUAL SERVICES,113207.74
2020-10-14,"US COACHWAYS, INC.",NY,C00580100,VEHICLE RENTAL,9180.0
2020-10-14,THE BUSBANK,IL,C00580100,VEHICLE RENTAL,18000.0
2020-10-14,INPRODUCTION,IL,C00580100,AUDIO VISUAL SERVICES,24910.0
2020-10-14,THE BUSBANK,IL,C00580100,VEHICLE RENTAL,22500.0
2020-10-14,"AMERICAN MADE MEDIA CONSULTANTS, LLC",VA,C00580100,PLACED MEDIA,2311700.0
2020-10-13,CENTURY PARK PROPERTIES,AZ,C00580100,FACILITY RENTAL,5000.0
2020-10-13,"LEGENDARY CAMPAIGNS, LLC",DC,C00580100,ONLINE ADVERTISING,291.96
2020-10-13,"PRIVATE JET SERVICES, LLC",NH,C00580100,TRAVEL: AIR,343900.0
2020-10-13,DES MOINES AIRPORT AUTHORITY,IA,C00580100,FACILITY RENTAL,15000.0
2020-10-13,"BRINDLEWOOD ENTERPRISES, LLC",WI,C00580100,FACILITY RENTAL,4747.5
2020-10-13,BLEACHERS ON DEMAND,OH,C00580100,EVENT STAGING EXPENSE,15100.0
2020-10-13,STRIPE,CA,C00580100,MERCHANT FEES,18005.23
2020-10-13,LAROCCA HORNIK ROSEN GREENBERG & BLAHA LLP,NY,C00580100,ARBITRATION COSTS,49922.5
2020-10-13,WINRED TECHNICAL SERVICES LLC,VA,C00580100,MERCHANT FEES,213637.12
2020-10-12,"AMERICAN MADE MEDIA CONSULTANTS, LLC",VA,C00580100,PLACED MEDIA,5617979.01
2020-10-12,JESSIE MEADOWS D'ANGELO MUA LLC,MD,C00580100,MEDIA PRODUCTION CONSULTING EXPENSE,1520.31
2020-10-09,WELLNESS COACHES,PA,C00580100,EVENT STAGING EXPENSE,29700.0
2020-10-09,AMERICAN LEGION HOME ASSOCIATION OF POST 175,PA,C00580100,FACILITY RENTAL,500.0
2020-10-09,"IN THE LIGHT MINISTRIES, INC.",PA,C00580100,FACILITY RENTAL,2500.0
2020-10-09,"SASSO & SASSO, PA",FL,C00580100,LEGAL CONSULTING,10000.0
2020-10-09,"LMG, LLC",GA,C00580100,AUDIO VISUAL SERVICES,48407.03
2020-10-09,ACE SPECIALTIES,LA,C00580100,"COLLATERAL: RALLY SIGNS, FREIGHT",58336.94
2020-10-09,TRUMP HOTEL COLLECTION,NY,C00580100,TRAVEL: LODGING,97418.04
2020-10-09,"LEGENDARY CAMPAIGNS, LLC",DC,C00580100,ONLINE ADVERTISING,757.5
2020-10-09,TABELLAS ENTERTAINMENT LLC,FL,C00580100,FACILITY RENTAL,7500.0
2020-10-09,CITY OF DORAL,FL,C00580100,EVENT STAGING EXPENSE,500.0
2020-10-09,WINRED TECHNICAL SERVICES LLC,VA,C00580100,MERCHANT FEES,132575.08
2020-10-09,THE BUSBANK,IL,C00580100,TRAVEL: GROUND TRANSPORTATION,4350.0
2020-10-09,WINGS OVER MIAMI MUSEUM INC.,FL,C00580100,FACILITY RENTAL,6000.0
2020-10-09,"C&M TRANSCONTINENTAL, LLC",NJ,C00580100,STRATEGY CONSULTING,20000.0
2020-10-09,FIRST BANKCARD,NE,C00580100,CREDIT CARD PAYMENT: SEE ITMEZATIONS,9203.78
2020-10-09,GARTLAND,GA,C00580100,ADVANCE CONSULTING,3750.0
2020-10-09,FINNIGANS RUN FARM LLC,NC,C00580100,FACILITY RENTAL,1500.0
2020-10-09,"MERKLE RESPONSE SERVICES, INC.",NY,C00580100,POSTAGE EXPENSE,35000.0
2020-10-09,"AMERICAN MADE MEDIA CONSULTANTS, LLC",VA,C00580100,PLACED MEDIA,1487090.75
2020-10-09,"AMERICAN MADE MEDIA CONSULTANTS, LLC",VA,C00580100,ONLINE ADVERTISING,4250000.0
2020-10-09,IGLESIA CRISTIANA SENALES DE VIDA INC.,FL,C00580100,FACILITY RENTAL,5000.0
