state,pollster_id,pollster,fte_grade,sample_size,population,methodology,end_date,nationwide_batch,answer,candidate_party,pct,committee_id
Pennsylvania,383,Public Policy Polling,B,890.0,v,IVR/Text,10/22/2020,False,Biden,DEM,51.0,C00703975
Pennsylvania,383,Public Policy Polling,B,890.0,v,IVR/Text,10/22/2020,False,Trump,REP,46.0,C00580100
Michigan,383,Public Policy Polling,B,804.0,v,IVR/Text,10/22/2020,False,Biden,DEM,50.0,C00703975
Michigan,383,Public Policy Polling,B,804.0,v,IVR/Text,10/22/2020,False,Trump,REP,43.0,C00580100
North Carolina,399,Rasmussen Reports/Pulse Opinion Research,C+,800.0,lv,IVR/Online,10/21/2020,False,Biden,DEM,48.0,C00703975
North Carolina,399,Rasmussen Reports/Pulse Opinion Research,C+,800.0,lv,IVR/Online,10/21/2020,False,Trump,REP,49.0,C00580100
Iowa,1102,Emerson College,A-,435.0,lv,IVR/Online/Text,10/21/2020,False,Biden,DEM,48.1,C00703975
Iowa,1102,Emerson College,A-,435.0,lv,IVR/Online/Text,10/21/2020,False,Trump,REP,48.0,C00580100
Pennsylvania,1447,Civiqs,B/C,1577.0,a,Online,10/21/2020,False,Biden,DEM,52.0,C00703975
Pennsylvania,1447,Civiqs,B/C,1577.0,a,Online,10/21/2020,False,Trump,REP,46.0,C00580100
Iowa,1554,RMG Research,B/C,800.0,lv,IVR/Online/Text,10/21/2020,False,Biden,DEM,47.0,C00703975
Iowa,1554,RMG Research,B/C,800.0,lv,IVR/Online/Text,10/21/2020,False,Trump,REP,47.0,C00580100
Arizona,744,Ipsos,B-,658.0,lv,Online,10/21/2020,False,Biden,DEM,49.0,C00703975
Arizona,744,Ipsos,B-,658.0,lv,Online,10/21/2020,False,Trump,REP,46.0,C00580100
Arizona,744,Ipsos,B-,658.0,lv,Online,10/21/2020,False,Biden,DEM,50.0,C00703975
Arizona,744,Ipsos,B-,658.0,lv,Online,10/21/2020,False,Trump,REP,46.0,C00580100
Wyoming,1193,SurveyMonkey,D-,605.0,rv,Online,10/21/2020,False,Biden,DEM,31.0,C00703975
Wyoming,1193,SurveyMonkey,D-,605.0,rv,Online,10/21/2020,False,Trump,REP,66.0,C00580100
Wyoming,1193,SurveyMonkey,D-,605.0,lv,Online,10/21/2020,False,Biden,DEM,31.0,C00703975
Wyoming,1193,SurveyMonkey,D-,605.0,lv,Online,10/21/2020,False,Trump,REP,67.0,C00580100
West Virginia,1193,SurveyMonkey,D-,1154.0,rv,Online,10/21/2020,False,Biden,DEM,32.0,C00703975
West Virginia,1193,SurveyMonkey,D-,1154.0,rv,Online,10/21/2020,False,Trump,REP,66.0,C00580100
West Virginia,1193,SurveyMonkey,D-,1154.0,lv,Online,10/21/2020,False,Biden,DEM,32.0,C00703975
West Virginia,1193,SurveyMonkey,D-,1154.0,lv,Online,10/21/2020,False,Trump,REP,67.0,C00580100
Wisconsin,1193,SurveyMonkey,D-,4540.0,rv,Online,10/21/2020,False,Biden,DEM,55.0,C00703975
Wisconsin,1193,SurveyMonkey,D-,4540.0,rv,Online,10/21/2020,False,Trump,REP,42.0,C00580100
Wisconsin,1193,SurveyMonkey,D-,4540.0,lv,Online,10/21/2020,False,Biden,DEM,55.0,C00703975
Wisconsin,1193,SurveyMonkey,D-,4540.0,lv,Online,10/21/2020,False,Trump,REP,43.0,C00580100
Washington,1193,SurveyMonkey,D-,7528.0,rv,Online,10/21/2020,False,Biden,DEM,60.0,C00703975
Washington,1193,SurveyMonkey,D-,7528.0,rv,Online,10/21/2020,False,Trump,REP,37.0,C00580100
Washington,1193,SurveyMonkey,D-,7528.0,lv,Online,10/21/2020,False,Biden,DEM,61.0,C00703975
Washington,1193,SurveyMonkey,D-,7528.0,lv,Online,10/21/2020,False,Trump,REP,37.0,C00580100
Virginia,1193,SurveyMonkey,D-,6382.0,rv,Online,10/21/2020,False,Biden,DEM,56.0,C00703975
Virginia,1193,SurveyMonkey,D-,6382.0,rv,Online,10/21/2020,False,Trump,REP,42.0,C00580100
Virginia,1193,SurveyMonkey,D-,6382.0,lv,Online,10/21/2020,False,Biden,DEM,55.0,C00703975
Virginia,1193,SurveyMonkey,D-,6382.0,lv,Online,10/21/2020,False,Trump,REP,43.0,C00580100
Utah,1193,SurveyMonkey,D-,2304.0,rv,Online,10/21/2020,False,Biden,DEM,45.0,C00703975
Utah,1193,SurveyMonkey,D-,2304.0,rv,Online,10/21/2020,False,Trump,REP,52.0,C00580100
Utah,1193,SurveyMonkey,D-,2304.0,lv,Online,10/21/2020,False,Biden,DEM,45.0,C00703975
Utah,1193,SurveyMonkey,D-,2304.0,lv,Online,10/21/2020,False,Trump,REP,53.0,C00580100
Tennessee,1193,SurveyMonkey,D-,4469.0,rv,Online,10/21/2020,False,Biden,DEM,43.0,C00703975
Tennessee,1193,SurveyMonkey,D-,4469.0,rv,Online,10/21/2020,False,Trump,REP,55.0,C00580100
Tennessee,1193,SurveyMonkey,D-,4469.0,lv,Online,10/21/2020,False,Biden,DEM,41.0,C00703975
Tennessee,1193,SurveyMonkey,D-,4469.0,lv,Online,10/21/2020,False,Trump,REP,57.0,C00580100
South Dakota,1193,SurveyMonkey,D-,847.0,rv,Online,10/21/2020,False,Biden,DEM,45.0,C00703975
South Dakota,1193,SurveyMonkey,D-,847.0,rv,Online,10/21/2020,False,Trump,REP,53.0,C00580100
South Dakota,1193,SurveyMonkey,D-,847.0,lv,Online,10/21/2020,False,Biden,DEM,45.0,C00703975
South Dakota,1193,SurveyMonkey,D-,847.0,lv,Online,10/21/2020,False,Trump,REP,53.0,C00580100
