CMTE_ID,CMTE_NM,CMTE_ST1,CMTE_ST2,CMTE_CITY,CMTE_ST,CMTE_ZIP,CAND_ID,CAND_NM,RPT_YR,RPT_TP,TERM_RPT_FLAG,AMNDT_IND,RECEIPT_DT,CVG_START_DT,CVG_END_DT,RPT_PGI,COH_BOP,TTL_RECEIPTS_SUM_PAGE_PER,SUBTTL_SUM_PAGE_PER,TTL_DISB_SUM_PAGE_PER,COH_COP,DEBTS_OWED_TO_CMTE,DEBTS_OWED_BY_CMTE,EXP_SUBJECT_LIMITS,NET_CONTB_SUM_PAGE_PER,NET_OP_EXP_SUM_PAGE_PER,FED_FUNDS_PER,INDV_CONTB_PER,POL_PTY_CMTE_CONTB_PER,OTHER_POL_CMTE_CONTB_PER,CAND_CONTB_PER,TTL_CONTB_PER,TRANF_FROM_AFFILATED_CMTE_PER,LOANS_RECEIVED_FROM_CAND_PER,OTHER_LOANS_RECEIVED_PER,TTL_LOANS_RECEIVED_PER,OFFSETS_TO_OP_EXP_PER,OFFSETS_TO_FNDRSG_EXP_PER,OFFSETS_TO_LEGAL_ACCTG_PER,TTL_OFFSETS_TO_OP_EXP_PER,OTHER_RECEIPTS_PER,TTL_RECEIPTS_PER,OP_EXP_PER,TRANF_TO_OTHER_AUTH_CMTE_PER,FNDRSG_DISB_PER,EXEMPT_LEGAL_ACCTG_DISB_PER,REPYMTS_LOANS_MADE_BY_CAND_PER,REPYMTS_OTHER_LOANS_PER,TTL_LOAN_REPYMTS_MADE_PER,REF_INDV_CONTB_PER,REF_POL_PTY_CMTE_CONTB_PER,REF_OTHER_POL_CMTE_CONTB_PER,TTL_CONTB_REF_PER,OTHER_DISB_PER,TTL_DISB_PER,ITEMS_ON_HAND_LIQUIDATED,TTL_PER,FED_FUNDS_YTD,INDV_CONTB_YTD,POL_PTY_CMTE_CONTB_YTD,OTHER_POL_CMTE_CONTB_YTD,CAND_CONTB_YTD,TTL_CONTB_YTD,TRANF_FROM_AFFILIATED_CMTE_YTD,LOANS_RECEIVED_FROM_CAND_YTD,OTHER_LOANS_RECEIVED_YTD,TTL_LOANS_RECEIVED_YTD,OFFSETS_TO_OP_EXP_YTD,OFFSETS_TO_FNDRSG_EXP_YTD,OFFSETS_TO_LEGAL_ACCTG_YTD,TTL_OFFSETS_TO_OP_EXP_YTD,OTHER_RECEIPTS_YTD,TTL_RECEIPTS_YTD,OP_EXP_YTD,TRANF_TO_OTHER_AUTH_CMTE_YTD,FNDRSG_DISB_YTD,EXEMPT_LEGAL_ACCTG_DISB_YTD,REPYMTS_LOANS_MADE_CAND_YTD,REPYMTS_OTHER_LOANS_YTD,TTL_LOAN_REPYMTS_MADE_YTD,REF_INDV_CONTB_YTD,REF_POL_PTY_CMTE_CONTB_YTD,REF_OTHER_POL_CMTE_CONTB_YTD,TTL_CONTB_REF_YTD,OTHER_DISB_YTD,TTL_DISB_YTD,TTL_YTD,TRES_SIGN_NM,TRES_SIGN_DT,FILE_NUM
C00508416,"FRIENDS OF JOHN DELANEY","PO BOX 70835","","BETHESDA","MD","20813","P00006213","DELANEY, JOHN K.",2020,"M6",,N,19-JUN-20,01-MAY-20,31-MAY-20,,36507.15,0,36507.15,16103.58,20403.57,0,1493250,0,3835781.31,13995694.16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16103.58,0,0,0,0,0,0,0,0,0,0,0,16103.58,0,0,0,2583255.65,0,177250,1169076.55,3929582.2,0,25245000,0,25245000,275901,0,0,275901,0,29450483.2,14271595.16,60000,0,0,15000000,0,15000000,90800.89,0,3000,93800.89,68735.54,29494131.59,0,"NORDBERG, EDWARD P JR.",19-JUN-20,1413748
C00508416,"FRIENDS OF JOHN DELANEY","PO BOX 70835","","BETHESDA","MD","20813","P00006213","DELANEY, JOHN K.",2017,"YE",,A,28-JUN-18,01-OCT-17,31-DEC-17,,313073.96,647299.54,960373.5,580931.31,379442.19,0,1743250,0,896677.69,1147487.46,0,55980.95,0,5000,80000,140980.95,0,500000,0,500000,6318.59,0,0,6318.59,0,647299.54,570731.31,0,0,0,0,0,0,3750,0,0,3750,6450,580931.31,0,0,0,661177.69,0,175250,80000,916427.69,0,580000,0,580000,11144.78,0,0,11144.78,0,1507572.47,1158632.24,0,0,0,0,0,0,16750,0,3000,19750,13800,1192182.24,0,"MCCLAIN-DELANEY, APRIL",28-JUN-18,1240948
C00508416,"FRIENDS OF JOHN DELANEY","PO BOX 70835","","BETHESDA","MD","20813","P00006213","DELANEY, JOHN K.",2020,"M8",,N,20-AUG-20,01-JUL-20,31-JUL-20,,15344.97,0,15344.97,-2152.11,17497.08,0,1493250,0,3835781.31,13998600.65,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-2152.11,0,0,0,0,0,0,0,0,0,0,0,-2152.11,0,0,0,2583255.65,0,177250,1169076.55,3929582.2,0,25245000,0,25245000,275901,0,0,275901,0,29450483.2,14274501.65,60000,0,0,15000000,0,15000000,90800.89,0,3000,93800.89,68735.54,29497038.08,0,"NORDBERG, EDWARD P JR.",20-AUG-20,1433914
C00508416,"FRIENDS OF JOHN DELANEY","PO BOX 70835","","BETHESDA","MD","20813","P00006213","DELANEY, JOHN K.",2019,"YE",,A,31-JAN-20,01-OCT-19,31-DEC-19,,548060.86,1406514.85,1954575.71,1814694.47,139881.24,0,11408250,0,3187067.76,13227552.94,0,134831.5,0,0,428570,563401.5,0,815000,0,815000,28113.35,0,0,28113.35,0,1406514.85,1803702.67,0,0,0,0,0,0,6293.6,0,0,6293.6,4698.2,1814694.47,0,0,0,2563406.1,0,177250,539076.55,3279732.65,0,25245000,0,25245000,91784.19,0,0,91784.19,0,28616516.84,13319337.13,60000,0,0,15000000,0,15000000,89664.89,0,3000,92664.89,68685.54,28540687.56,0,"NORDBERG, EDWARD P JR.",23-MAR-20,1391782
C00508416,"FRIENDS OF JOHN DELANEY","PO BOX 70835","","BETHESDA","MD","20813","P00006213","DELANEY, JOHN K.",2020,"M9",,N,18-SEP-20,01-AUG-20,31-AUG-20,,17497.08,14548.72,32045.8,1727.66,30318.14,0,1493250,0,3835781.31,13985779.59,0,0,0,0,0,0,0,0,0,0,14548.72,0,0,14548.72,0,14548.72,1727.66,0,0,0,0,0,0,0,0,0,0,0,1727.66,0,0,0,2583255.65,0,177250,1169076.55,3929582.2,0,25245000,0,25245000,290449.72,0,0,290449.72,0,29465031.92,14276229.31,60000,0,0,15000000,0,15000000,90800.89,0,3000,93800.89,68735.54,29498765.74,0,"NORDBERG, EDWARD P JR.",11-SEP-20,1439661
C00508416,"FRIENDS OF JOHN DELANEY","PO BOX 70835","","BETHESDA","MD","20813","P00006213","DELANEY, JOHN K.",2019,"Q2",,A,15-JUL-19,01-APR-19,30-JUN-19,,10567864.85,8039926.9,18607791.75,11165179.08,7442612.67,0,16193250,0,2174219.57,9717021.52,0,284475.15,0,0,1,284476.15,0,7750000,0,7750000,5450.75,0,0,5450.75,0,8039926.9,2135903.26,0,0,0,9000000,0,9000000,14085.32,0,0,14085.32,15190.5,11165179.08,0,0,0,1965785.34,0,175250,110506.55,2251541.89,0,24030000,0,24030000,60007.84,0,0,60007.84,0,26341549.73,9777029.36,60000,0,0,9000000,0,9000000,74322.32,0,3000,77322.32,48637.34,18962989.02,0,"NORDBERG, EDWARD P JR.",19-AUG-19,1348447
C00508416,"FRIENDS OF JOHN DELANEY","PO BOX 70835","","BETHESDA","MD","20813","P00006213","DELANEY, JOHN K.",2019,"Q1",,A,14-APR-19,01-JAN-19,31-MAR-19,,268248.08,12144069.64,12412317.72,1844452.87,10567864.85,0,17443250,0,1903828.74,7586569.01,0,404301.17,0,0,30505.55,434806.72,0,11700000,0,11700000,9262.92,0,0,9262.92,0,12144069.64,1812780.87,0,0,0,0,0,0,31312,0,0,31312,360,1844452.87,0,0,0,1681310.19,0,175250,110505.55,1967065.74,0,16280000,0,16280000,54557.09,0,0,54557.09,0,18301622.83,7641126.1,60000,0,0,0,0,0,60237,0,3000,63237,33446.84,7797809.94,0,"NORDBERG, EDWARD P JR.",14-AUG-19,1348439
C00508416,"FRIENDS OF JOHN DELANEY","PO BOX 70835","","BETHESDA","MD","20813","P00006213","DELANEY, JOHN K.",2018,"YE",,A,31-JAN-19,01-OCT-18,31-DEC-18,,77856.55,1148213.05,1226069.6,957821.52,268248.08,0,5743250,0,1500334.02,5783051.06,0,125498.13,0,0,0,125498.13,0,1000000,0,1000000,22714.92,0,0,22714.92,0,1148213.05,885596.52,60000,0,0,0,0,0,3200,0,0,3200,9025,957821.52,0,0,0,1277009.02,0,175250,80000,1532259.02,0,4580000,0,4580000,45294.17,0,0,45294.17,0,6157553.19,5828345.23,60000,0,0,0,0,0,28925,0,3000,31925,33086.84,5953357.07,0,"NORDBERG, EDWARD P JR.",14-AUG-19,1347820
C00508416,"FRIENDS OF JOHN DELANEY","PO BOX 70835","","BETHESDA","MD","20813","P00006213","DELANEY, JOHN K.",2018,"Q3",,A,15-OCT-18,01-JUL-18,30-SEP-18,,154256.5,1088448.44,1242704.94,1164848.39,77856.55,0,4743250,0,1378035.89,4920169.46,0,85294.6,0,0,0,85294.6,0,1000000,0,1000000,3153.84,0,0,3153.84,0,1088448.44,1162673.39,0,0,0,0,0,0,0,0,0,0,2175,1164848.39,0,0,0,1151510.89,0,175250,80000,1406760.89,0,3580000,0,3580000,22579.25,0,0,22579.25,0,5009340.14,4942748.71,0,0,0,0,0,0,25725,0,3000,28725,24061.84,4995535.55,0,"NORDBERG, EDWARD P JR.",14-AUG-19,1347810
C00508416,"FRIENDS OF JOHN DELANEY","PO BOX 70835","","BETHESDA","MD","20813","P00006213","DELANEY, JOHN K.",2018,"Q2",,A,10-SEP-18,01-APR-18,30-JUN-18,,829703.5,240167.48,1069870.98,915614.48,154256.5,0,3743250,0,1292741.29,3760649.91,0,240149.8,0,0,0,240149.8,0,0,0,0,17.68,0,0,17.68,0,240167.48,904971.72,0,0,0,0,0,0,5475,0,0,5475,5167.76,915614.48,0,0,0,1066216.29,0,175250,80000,1321466.29,0,2580000,0,2580000,19425.41,0,0,19425.41,0,3920891.7,3780075.32,0,0,0,0,0,0,25725,0,3000,28725,21886.84,3830687.16,0,"NORDBERG, EDWARD P JR.",14-AUG-19,1347771
