recipient_state,disbursement_date,recipient_name,committee_id,disbursement_description,disbursement_amount
DC,2020-10-14,"LEGENDARY CAMPAIGNS, LLC",C00580100,ONLINE ADVERTISING,80.85
CA,2020-10-14,STRIPE,C00580100,MERCHANT FEES,0.77
VA,2020-10-14,WINRED TECHNICAL SERVICES LLC,C00580100,MERCHANT FEES,227550.23
CA,2020-10-14,STRIPE,C00580100,MERCHANT FEES,5133.02
FL,2020-10-14,"EVENT RESOURCE GROUP, INC.",C00580100,AUDIO VISUAL SERVICES,113207.74
NY,2020-10-14,"US COACHWAYS, INC.",C00580100,VEHICLE RENTAL,9180.0
IL,2020-10-14,THE BUSBANK,C00580100,VEHICLE RENTAL,18000.0
IL,2020-10-14,INPRODUCTION,C00580100,AUDIO VISUAL SERVICES,24910.0
IL,2020-10-14,THE BUSBANK,C00580100,VEHICLE RENTAL,22500.0
VA,2020-10-14,"AMERICAN MADE MEDIA CONSULTANTS, LLC",C00580100,PLACED MEDIA,2311700.0
AZ,2020-10-13,CENTURY PARK PROPERTIES,C00580100,FACILITY RENTAL,5000.0
DC,2020-10-13,"LEGENDARY CAMPAIGNS, LLC",C00580100,ONLINE ADVERTISING,291.96
NH,2020-10-13,"PRIVATE JET SERVICES, LLC",C00580100,TRAVEL: AIR,343900.0
IA,2020-10-13,DES MOINES AIRPORT AUTHORITY,C00580100,FACILITY RENTAL,15000.0
WI,2020-10-13,"BRINDLEWOOD ENTERPRISES, LLC",C00580100,FACILITY RENTAL,4747.5
OH,2020-10-13,BLEACHERS ON DEMAND,C00580100,EVENT STAGING EXPENSE,15100.0
CA,2020-10-13,STRIPE,C00580100,MERCHANT FEES,18005.23
NY,2020-10-13,LAROCCA HORNIK ROSEN GREENBERG & BLAHA LLP,C00580100,ARBITRATION COSTS,49922.5
VA,2020-10-13,WINRED TECHNICAL SERVICES LLC,C00580100,MERCHANT FEES,213637.12
VA,2020-10-12,"AMERICAN MADE MEDIA CONSULTANTS, LLC",C00580100,PLACED MEDIA,5617979.01
MD,2020-10-12,JESSIE MEADOWS D'ANGELO MUA LLC,C00580100,MEDIA PRODUCTION CONSULTING EXPENSE,1520.31
PA,2020-10-09,WELLNESS COACHES,C00580100,EVENT STAGING EXPENSE,29700.0
PA,2020-10-09,AMERICAN LEGION HOME ASSOCIATION OF POST 175,C00580100,FACILITY RENTAL,500.0
PA,2020-10-09,"IN THE LIGHT MINISTRIES, INC.",C00580100,FACILITY RENTAL,2500.0
FL,2020-10-09,"SASSO & SASSO, PA",C00580100,LEGAL CONSULTING,10000.0
GA,2020-10-09,"LMG, LLC",C00580100,AUDIO VISUAL SERVICES,48407.03
LA,2020-10-09,ACE SPECIALTIES,C00580100,"COLLATERAL: RALLY SIGNS, FREIGHT",58336.94
NY,2020-10-09,TRUMP HOTEL COLLECTION,C00580100,TRAVEL: LODGING,97418.04
DC,2020-10-09,"LEGENDARY CAMPAIGNS, LLC",C00580100,ONLINE ADVERTISING,757.5
FL,2020-10-09,TABELLAS ENTERTAINMENT LLC,C00580100,FACILITY RENTAL,7500.0
FL,2020-10-09,CITY OF DORAL,C00580100,EVENT STAGING EXPENSE,500.0
VA,2020-10-09,WINRED TECHNICAL SERVICES LLC,C00580100,MERCHANT FEES,132575.08
IL,2020-10-09,THE BUSBANK,C00580100,TRAVEL: GROUND TRANSPORTATION,4350.0
FL,2020-10-09,WINGS OVER MIAMI MUSEUM INC.,C00580100,FACILITY RENTAL,6000.0
